1,ХљРђ27ФNНСР®Т≤НЄБ@ПђТnИжПWМvБ@БiСНЦ±П»УЭМvЛ«Бj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Сж3Х\Б@ФNЧоБi5НќКKЛЙБjБCТjПЧХ РlМыБCСНФNЧоЛyВ—ХљЛѕФNЧо(КOНСРlБ\УЅМfБjБ|ТђТЪБEОЪУЩ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,1) УъЦ{РlБEКOНСРlВћХ БuХsПЏБvВрК№ВёБB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,2) Ц≥НСР–ЛyВ—НСЦЉБuХsПЏБvВрК№ВёБB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,СНРФБiТjПЧХ Бj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Тj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ПЧ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ОsЛжТђСЇГRБ[Гh,ТђТЪОЪГRБ[Гh,ТnИжОѓХ Ф‘НЖ,ФйУљПИЧЭ,ФйУљРжПоХс,НЗОZТnИж,УsУєХ{МІЦЉ,ОsЛжТђСЇЦЉ,СеОЪБEТђЦЉ,ОЪБEТЪЦЏЦЉ,СНРФБiФNЧоБj 1),0Б`4Нќ,5Б`9Нќ,10Б`14Нќ,15Б`19Нќ,20Б`24Нќ,25Б`29Нќ,30Б`34Нќ,35Б`39Нќ,40Б`44Нќ,45Б`49Нќ,50Б`54Нќ,55Б`59Нќ,60Б`64Нќ,65Б`69Нќ,70Б`74Нќ,75Б`79Нќ,80Б`84Нќ,85Б`89Нќ,90Б`94Нќ,95Б`99Нќ,100НќИ»Пг,ФNЧоБuХsПЏБv,СНФNЧо,ХљЛѕФNЧо,БiНƒМfБj15НќЦҐЦЮ,БiНƒМfБj15Б`64Нќ,БiНƒМfБj65НќИ»Пг,БiНƒМfБj75НќИ»Пг,БiНƒМfБj85НќИ»Пг,БiНƒМfБjКOНСРl 2),СНРФБiФNЧоБj 1),0Б`4Нќ,5Б`9Нќ,10Б`14Нќ,15Б`19Нќ,20Б`24Нќ,25Б`29Нќ,30Б`34Нќ,35Б`39Нќ,40Б`44Нќ,45Б`49Нќ,50Б`54Нќ,55Б`59Нќ,60Б`64Нќ,65Б`69Нќ,70Б`74Нќ,75Б`79Нќ,80Б`84Нќ,85Б`89Нќ,90Б`94Нќ,95Б`99Нќ,100НќИ»Пг,ФNЧоБuХsПЏБv,СНФNЧо,ХљЛѕФNЧо,БiНƒМfБj15НќЦҐЦЮ,БiНƒМfБj15Б`64Нќ,БiНƒМfБj65НќИ»Пг,БiНƒМfБj75НќИ»Пг,БiНƒМfБj85НќИ»Пг,БiНƒМfБjКOНСРl 2),СНРФБiФNЧоБj 1),0Б`4Нќ,5Б`9Нќ,10Б`14Нќ,15Б`19Нќ,20Б`24Нќ,25Б`29Нќ,30Б`34Нќ,35Б`39Нќ,40Б`44Нќ,45Б`49Нќ,50Б`54Нќ,55Б`59Нќ,60Б`64Нќ,65Б`69Нќ,70Б`74Нќ,75Б`79Нќ,80Б`84Нќ,85Б`89Нќ,90Б`94Нќ,95Б`99Нќ,100НќИ»Пг,ФNЧоБuХsПЏБv,СНФNЧо,ХљЛѕФNЧо,БiНƒМfБj15НќЦҐЦЮ,БiНƒМfБj15Б`64Нќ,БiНƒМfБj65НќИ»Пг,БiНƒМfБj75НќИ»Пг,БiНƒМfБj85НќИ»Пг,БiНƒМfБjКOНСРl 2)
17,"44201","002005","3","","","","СеХ™МІ","СеХ™Оs","СеОЪР®Й∆","БiВїВћВTБj",278,5,10,3,7,7,4,7,19,7,18,14,18,16,36,35,35,18,9,8,1,-,1,16056,58.4638989170,18,117,142,71,18,-,124,3,2,1,4,2,1,6,6,5,7,6,10,9,18,13,15,7,4,3,1,-,1,7152,58.6463414634,6,56,61,30,8,-,154,2,8,2,3,5,3,1,13,2,11,8,8,7,18,22,20,11,5,5,-,-,-,8904,58.3181818182,12,61,81,41,10,-
18,"44201","002006","3","","","","СеХ™МІ","СеХ™Оs","СеОЪР®Й∆","БiВїВћВUБj",447,23,26,23,17,12,18,26,44,29,33,24,39,28,40,21,10,15,9,5,-,-,5,19433,44.4660633484,72,270,100,39,14,-,215,9,17,12,11,6,7,12,19,18,18,7,20,13,17,13,3,7,2,1,-,-,3,8956,42.7452830189,38,131,43,13,3,-,232,14,9,11,6,6,11,14,25,11,15,17,19,15,23,8,7,8,7,4,-,-,2,10477,46.0521739130,34,139,57,26,11,-
19,"44201","0030","2","","","","СеХ™МІ","СеХ™Оs","СеОЪС Мі","",1809,125,149,114,57,40,64,113,205,181,107,97,78,96,100,82,64,51,49,12,1,2,22,72830,41.2554560716,388,1038,361,179,64,7,826,55,75,62,21,19,23,56,97,91,52,41,33,41,48,34,29,17,14,5,-,-,13,31972,39.8259532595,192,474,147,65,19,4,983,70,74,52,36,21,41,57,108,90,55,56,45,55,52,48,35,34,35,7,1,2,9,40858,42.4486652977,196,564,214,114,45,3
20,"44201","003002","3","","","","СеХ™МІ","СеХ™Оs","СеОЪС Мі","БiВїВћВQБj",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,"44201","003003","3","","","","СеХ™МІ","СеХ™Оs","СеОЪС Мі","БiВїВћВRБj",747,33,33,34,24,19,33,52,66,60,47,49,35,48,65,47,37,22,23,7,-,1,12,33897,46.6183673469,100,433,202,90,31,5,318,15,14,17,9,8,12,23,33,28,20,20,13,20,31,16,16,7,8,3,-,-,5,14094,45.5287539936,46,186,81,34,11,3,429,18,19,17,15,11,21,29,33,32,27,29,22,28,34,31,21,15,15,4,-,1,7,19803,47.4265402844,54,247,121,56,20,2
22,"44201","003004","3","","","","СеХ™МІ","СеХ™Оs","СеОЪС Мі","БiВїВћВSБj",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,"44201","003005","3","","","","СеХ™МІ","СеХ™Оs","СеОЪС Мі","БiВїВћВTБj",586,66,83,58,15,4,10,34,89,72,31,21,18,20,19,14,12,7,7,2,-,-,4,18775,32.7594501718,207,314,61,28,9,-,296,32,44,33,6,1,4,19,42,36,15,13,10,7,10,9,6,4,1,1,-,-,3,9366,32.4658703072,109,153,31,12,2,-,290,34,39,25,9,3,6,15,47,36,16,8,8,13,9,5,6,3,6,1,-,-,1,9409,33.0570934256,98,161,30,16,7,-
24,"44201","003006","3","","","","СеХ™МІ","СеХ™Оs","СеОЪС Мі","БiВїВћВUБj",476,26,33,22,18,17,21,27,50,49,29,27,25,28,16,21,15,22,19,3,1,1,6,20158,43.3893617021,81,291,98,61,24,2,212,8,17,12,6,10,7,14,22,27,17,8,10,14,7,9,7,6,5,1,-,-,5,8512,41.6207729469,37,135,35,19,6,1,264,18,16,10,12,7,14,13,28,22,12,19,15,14,9,12,8,16,14,2,1,1,1,11646,44.7813688213,44,156,63,42,18,1
25,"44201","0040","2","","","","СеХ™МІ","СеХ™Оs","СеОЪРґРќ","",292,10,11,8,1,4,9,22,11,13,10,20,16,30,32,23,19,31,12,10,-,-,-,16240,56.1164383562,29,136,127,72,22,1,142,4,9,5,1,3,3,11,9,7,6,9,7,16,16,11,4,12,6,3,-,-,-,7367,52.3802816901,18,72,52,25,9,-,150,6,2,3,-,1,6,11,2,6,4,11,9,14,16,12,15,19,6,7,-,-,-,8873,59.6533333333,11,64,75,47,13,1
26,"44201","0050","2","","","","СеХ™МІ","СеХ™Оs","СеОЪОOЦF","",5472,361,272,264,269,216,306,403,451,474,416,361,334,264,269,218,176,159,102,43,16,-,98,221091,41.6408634164,897,3494,983,496,161,27,2603,194,135,139,135,97,140,182,221,229,202,172,170,128,126,98,79,59,32,7,1,-,57,100727,40.0628436764,468,1676,402,178,40,15,2869,167,137,125,134,119,166,221,230,245,214,189,164,136,143,120,97,100,70,36,15,-,41,120364,43.0615275813,429,1818,581,318,121,12
27,"44201","0051","2","","","","СеХ™МІ","СеХ™Оs","ЛGВћНв","",947,23,69,87,122,42,19,15,41,83,142,144,75,25,20,19,9,3,4,1,-,-,4,34679,37.2751855779,179,708,56,17,5,3,437,9,34,45,59,18,6,4,17,28,66,66,44,13,9,9,6,2,-,1,-,-,1,16136,37.5091743119,88,321,27,9,1,-,510,14,35,42,63,24,13,11,24,55,76,78,31,12,11,10,3,1,4,-,-,-,3,18543,37.0739644970,91,387,29,8,4,3
28,"44201","005101","3","","","","СеХ™МІ","СеХ™Оs","ЛGВћНв","ВPТЪЦЏ",269,7,14,26,43,13,3,3,12,23,42,44,17,9,5,4,3,-,1,-,-,-,-,9718,36.6263940520,47,209,13,4,1,-,128,1,9,14,23,4,1,-,4,7,21,21,12,6,2,1,2,-,-,-,-,-,-,4653,36.8515625000,24,99,5,2,-,-,141,6,5,12,20,9,2,3,8,16,21,23,5,3,3,3,1,-,1,-,-,-,-,5065,36.4219858156,23,110,8,2,1,-
29,"44201","005102","3","","","","СеХ™МІ","СеХ™Оs","ЛGВћНв","ВQТЪЦЏ",314,3,25,25,35,15,10,3,11,25,48,46,29,9,10,10,5,1,3,1,-,-,-,12364,39.8757961783,53,231,30,10,4,1,142,2,11,13,16,8,3,2,5,11,19,17,17,4,3,6,4,-,-,1,-,-,-,5544,39.5422535211,26,102,14,5,1,-,172,1,14,12,19,7,7,1,6,14,29,29,12,5,7,4,1,1,3,-,-,-,-,6820,40.1511627907,27,129,16,5,3,1
30,"44201","005103","3","","","","СеХ™МІ","СеХ™Оs","ЛGВћНв","ВRТЪЦЏ",364,13,30,36,44,14,6,9,18,35,52,54,29,7,5,5,1,2,-,-,-,-,4,12597,35.4916666667,79,268,13,3,-,2,167,6,14,18,20,6,2,2,8,10,26,28,15,3,4,2,-,2,-,-,-,-,1,5939,36.2771084337,38,120,8,2,-,-,197,7,16,18,24,8,4,7,10,25,26,26,14,4,1,3,1,-,-,-,-,-,3,6658,34.8195876289,41,148,5,1,-,2
31,"44201","0052","2","","","","СеХ™МІ","СеХ™Оs","СеОЪОOЦF","",428,16,30,42,40,15,19,15,27,42,51,48,29,19,11,6,6,7,4,1,-,-,-,15844,37.5186915888,88,305,35,18,5,-,205,8,18,13,19,6,11,7,14,16,24,25,18,9,6,1,3,4,2,1,-,-,-,7753,38.3195121951,39,149,17,10,3,-,223,8,12,29,21,9,8,8,13,26,27,23,11,10,5,5,3,3,2,-,-,-,-,8091,36.7825112108,49,156,18,8,2,-
32,"44201","0060","2","","","","СеХ™МІ","СеХ™Оs","СеОЪПгЦм","",253,7,9,8,8,5,9,5,18,11,14,13,24,20,27,30,12,14,14,3,1,-,1,13531,54.1944444444,24,127,101,44,18,-,122,3,6,4,4,1,5,5,7,4,10,5,10,12,13,16,5,5,4,1,1,-,1,6324,52.7644628099,13,63,45,16,6,-,131,4,3,4,4,4,4,-,11,7,4,8,14,8,14,14,7,9,10,2,-,-,-,7207,55.5152671756,11,64,56,28,12,-
33,"44201","0071","2","","","","СеХ™МІ","СеХ™Оs","ВЌВ»ВћРX","",1191,108,202,150,70,27,25,81,148,191,104,37,20,7,16,3,2,-,-,-,-,-,-,31820,27.2170445004,460,710,21,2,-,-,588,52,110,71,33,10,11,33,75,95,53,22,13,2,7,-,1,-,-,-,-,-,-,15680,27.1666666667,233,347,8,1,-,-,603,56,92,79,37,17,14,48,73,96,51,15,7,5,9,3,1,-,-,-,-,-,-,16140,27.2661691542,227,363,13,1,-,-
34,"44201","0072","2","","","","СеХ™МІ","СеХ™Оs","СеОЪЙiЛї","",8477,366,368,350,414,368,450,504,589,642,512,551,475,543,635,460,397,393,199,79,24,4,154,378687,45.9988585846,1084,5048,2191,1096,306,35,3919,181,186,196,199,179,212,256,298,302,213,276,208,250,284,197,148,143,77,24,7,-,83,166478,43.8988529718,563,2393,880,399,108,9,4558,185,182,154,215,189,238,248,291,340,299,275,267,293,351,263,249,250,122,55,17,4,71,212209,47.7941831959,521,2655,1311,697,198,26
35,"44201","007201","3","","","","СеХ™МІ","СеХ™Оs","СеОЪЙiЛї","БiВїВћВPБj",369,10,14,19,16,9,11,11,13,21,30,33,30,40,34,27,13,15,8,3,1,-,11,17651,49.8044692737,43,214,101,40,12,-,177,4,8,11,9,6,6,5,4,12,12,14,15,19,18,15,3,6,3,1,-,-,6,8124,48.0087719298,23,102,46,13,4,-,192,6,6,8,7,3,5,6,9,9,18,19,15,21,16,12,10,9,5,2,1,-,5,9527,51.4465240642,20,112,55,27,8,-
36,"44201","007202","3","","","","СеХ™МІ","СеХ™Оs","СеОЪЙiЛї","БiВїВћВQБj",2598,112,116,120,129,104,152,192,198,203,143,163,149,172,200,124,98,96,47,19,7,-,54,111615,44.3738207547,348,1605,591,267,73,5,1269,60,58,67,66,50,72,103,108,97,63,86,67,85,92,58,41,34,17,7,4,-,34,52102,42.6878542510,185,797,253,103,28,2,1329,52,58,53,63,54,80,89,90,106,80,77,82,87,108,66,57,62,30,12,3,-,20,59513,45.9644766998,163,808,338,164,45,3
37,"44201","007203","3","","","","СеХ™МІ","СеХ™Оs","СеОЪЙiЛї","БiВїВћВRБj",32,1,1,-,2,1,3,1,-,2,3,4,3,-,4,2,1,4,-,-,-,-,-,1593,50.2812500000,2,19,11,5,-,-,14,-,1,-,1,-,2,1,-,-,2,2,1,-,2,1,1,-,-,-,-,-,-,654,47.2142857143,1,9,4,1,-,-,18,1,-,-,1,1,1,-,-,2,1,2,2,-,2,1,-,4,-,-,-,-,-,939,52.6666666667,1,10,7,4,-,-
38,"44201","007204","3","","","","СеХ™МІ","СеХ™Оs","СеОЪЙiЛї","БiВїВћВSБj",235,19,8,9,7,5,20,27,21,19,9,6,11,8,8,10,9,15,11,4,2,1,6,10055,44.4082969432,36,133,60,42,18,-,107,7,4,5,4,1,12,11,12,8,4,4,6,3,3,4,4,8,3,1,-,-,3,4366,42.4807692308,16,65,23,16,4,-,128,12,4,4,3,4,8,16,9,11,5,2,5,5,5,6,5,7,8,3,2,1,3,5689,46.0120000000,20,68,37,26,14,-
39,"44201","007205","3","","","","СеХ™МІ","СеХ™Оs","СеОЪЙiЛї","БiВїВћВTБj",1102,37,58,47,34,46,40,43,68,75,58,67,66,79,107,85,61,58,40,9,6,1,17,53297,49.6216589862,142,576,367,175,56,3,501,15,30,27,18,23,20,23,29,41,21,30,26,35,46,42,25,19,18,2,3,-,8,23276,47.7129817444,72,266,155,67,23,-,601,22,28,20,16,23,20,20,39,34,37,37,40,44,61,43,36,39,22,7,3,1,9,30021,51.2111486486,70,310,212,108,33,3
40,"44201","007206","3","","","","СеХ™МІ","СеХ™Оs","СеОЪЙiЛї","БiВїВћВUБj",2797,131,128,99,162,138,125,141,178,222,176,195,147,151,198,144,168,152,78,26,7,2,29,127119,46.4244942197,358,1635,775,433,113,18,1237,67,66,61,75,69,53,74,87,105,65,93,61,69,81,48,54,55,30,10,-,-,14,52318,43.2784137367,194,751,278,149,40,6,1560,64,62,38,87,69,72,67,91,117,111,102,86,82,117,96,114,97,48,16,7,2,15,74801,48.9148867314,164,884,497,284,73,12
41,"44201","007207","3","","","","СеХ™МІ","СеХ™Оs","СеОЪЙiЛї","БiВїВћВVБj",1344,56,43,56,64,65,99,89,111,100,93,83,69,93,84,68,47,53,15,18,1,-,37,57357,44.3844682479,155,866,286,134,34,9,614,28,19,25,26,30,47,39,58,39,46,47,32,39,42,29,20,21,6,3,-,-,18,25638,43.5167785235,72,403,121,50,9,1,730,28,24,31,38,35,52,50,53,61,47,36,37,54,42,39,27,32,9,15,1,-,19,31719,45.1118143460,83,463,165,84,25,8
42,"44201","0080","2","","","","СеХ™МІ","СеХ™Оs","СеОЪЙ`МG","",7915,323,346,365,326,293,417,490,479,560,477,469,532,623,618,448,355,339,208,81,26,5,135,360569,46.8456298201,1034,4666,2080,1014,320,29,3548,164,175,192,155,118,199,214,244,258,204,204,230,285,283,192,147,131,61,22,2,-,68,154430,44.8764367816,531,2111,838,363,85,10,4367,159,171,173,171,175,218,276,235,302,273,265,302,338,335,256,208,208,147,59,24,5,67,206139,48.4393023256,503,2555,1242,651,235,19
43,"44201","0090","2","","","","СеХ™МІ","СеХ™Оs","СеОЪЙЬУc","",5507,253,230,262,238,211,274,351,372,415,339,294,371,355,401,306,274,252,150,54,21,6,78,249123,46.3874562535,745,3220,1464,757,231,32,2523,128,125,143,107,104,124,159,170,192,165,132,172,165,178,137,121,91,66,8,2,-,34,109472,44.4823222178,396,1490,603,288,76,9,2984,125,105,119,131,107,150,192,202,223,174,162,199,190,223,169,153,161,84,46,19,6,44,139651,48.0003401361,349,1730,861,469,155,23
44,"44201","0100","2","","","","СеХ™МІ","СеХ™Оs","СеОЪЦLй`","",1825,127,97,73,88,73,119,141,153,136,135,116,109,108,114,59,67,44,24,7,6,5,24,73803,41.4789006108,297,1178,326,153,42,6,826,56,40,35,37,37,54,65,73,63,53,56,50,48,52,25,32,21,11,4,-,1,13,33345,41.5147601476,131,536,146,69,16,2,999,71,57,38,51,36,65,76,80,73,82,60,59,60,62,34,35,23,13,3,6,4,11,40458,41.4493927126,166,642,180,84,26,4
