1,ïΩê¨27îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ëÊ3ï\Å@îNóÓÅi5çŒäKãâÅjÅCíjèóï êlå˚ÅCëçîNóÓãyÇ—ïΩãœîNóÓ(äOçëêlÅ\ì¡åfÅjÅ|í¨íöÅEéöìô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,1) ì˙ñ{êlÅEäOçëêlÇÃï Åuïsè⁄ÅvÇä‹ÇﬁÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,2) ñ≥çëê–ãyÇ—çëñºÅuïsè⁄ÅvÇä‹ÇﬁÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,ëçêîÅiíjèóï Åj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,íj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,èó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ésãÊí¨ë∫ÉRÅ[Éh,í¨íöéöÉRÅ[Éh,ínàÊéØï î‘çÜ,îÈìΩèàóù,îÈìΩêÊèÓïÒ,çáéZínàÊ,ìsìπï{åßñº,ésãÊí¨ë∫ñº,ëÂéöÅEí¨ñº,éöÅEíöñ⁄ñº,ëçêîÅiîNóÓÅj 1),0Å`4çŒ,5Å`9çŒ,10Å`14çŒ,15Å`19çŒ,20Å`24çŒ,25Å`29çŒ,30Å`34çŒ,35Å`39çŒ,40Å`44çŒ,45Å`49çŒ,50Å`54çŒ,55Å`59çŒ,60Å`64çŒ,65Å`69çŒ,70Å`74çŒ,75Å`79çŒ,80Å`84çŒ,85Å`89çŒ,90Å`94çŒ,95Å`99çŒ,100çŒà»è„,îNóÓÅuïsè⁄Åv,ëçîNóÓ,ïΩãœîNóÓ,ÅiçƒåfÅj15çŒñ¢ñû,ÅiçƒåfÅj15Å`64çŒ,ÅiçƒåfÅj65çŒà»è„,ÅiçƒåfÅj75çŒà»è„,ÅiçƒåfÅj85çŒà»è„,ÅiçƒåfÅjäOçëêl 2),ëçêîÅiîNóÓÅj 1),0Å`4çŒ,5Å`9çŒ,10Å`14çŒ,15Å`19çŒ,20Å`24çŒ,25Å`29çŒ,30Å`34çŒ,35Å`39çŒ,40Å`44çŒ,45Å`49çŒ,50Å`54çŒ,55Å`59çŒ,60Å`64çŒ,65Å`69çŒ,70Å`74çŒ,75Å`79çŒ,80Å`84çŒ,85Å`89çŒ,90Å`94çŒ,95Å`99çŒ,100çŒà»è„,îNóÓÅuïsè⁄Åv,ëçîNóÓ,ïΩãœîNóÓ,ÅiçƒåfÅj15çŒñ¢ñû,ÅiçƒåfÅj15Å`64çŒ,ÅiçƒåfÅj65çŒà»è„,ÅiçƒåfÅj75çŒà»è„,ÅiçƒåfÅj85çŒà»è„,ÅiçƒåfÅjäOçëêl 2),ëçêîÅiîNóÓÅj 1),0Å`4çŒ,5Å`9çŒ,10Å`14çŒ,15Å`19çŒ,20Å`24çŒ,25Å`29çŒ,30Å`34çŒ,35Å`39çŒ,40Å`44çŒ,45Å`49çŒ,50Å`54çŒ,55Å`59çŒ,60Å`64çŒ,65Å`69çŒ,70Å`74çŒ,75Å`79çŒ,80Å`84çŒ,85Å`89çŒ,90Å`94çŒ,95Å`99çŒ,100çŒà»è„,îNóÓÅuïsè⁄Åv,ëçîNóÓ,ïΩãœîNóÓ,ÅiçƒåfÅj15çŒñ¢ñû,ÅiçƒåfÅj15Å`64çŒ,ÅiçƒåfÅj65çŒà»è„,ÅiçƒåfÅj75çŒà»è„,ÅiçƒåfÅj85çŒà»è„,ÅiçƒåfÅjäOçëêl 2)
17,"45201","002003","3","","","","ã{çËåß","ã{çËés","ãkí ìå","ÇRíöñ⁄",188,4,4,3,3,12,12,6,15,11,12,12,11,15,18,9,8,8,7,3,2,-,13,8880,51.2428571429,11,109,55,28,12,-,85,1,1,2,2,6,5,1,9,6,6,3,9,6,8,4,3,4,1,1,-,-,7,3840,49.7307692308,4,53,21,9,2,-,103,3,3,1,1,6,7,5,6,5,6,9,2,9,10,5,5,4,6,2,2,-,6,5040,52.4587628866,7,56,34,19,10,-
18,"45201","002004","3","","","","ã{çËåß","ã{çËés","ãkí ìå","ÇSíöñ⁄",443,19,19,17,14,12,26,32,25,49,27,35,19,25,33,16,20,16,1,6,-,-,32,18138,44.6313868613,55,264,92,43,7,-,194,8,8,8,6,4,16,14,13,16,11,18,6,13,13,6,8,6,-,1,-,-,19,7482,43.2542857143,24,117,34,15,1,-,249,11,11,9,8,8,10,18,12,33,16,17,13,12,20,10,12,10,1,5,-,-,13,10656,45.6525423729,31,147,58,28,6,-
19,"45201","002005","3","","","","ã{çËåß","ã{çËés","ãkí ìå","ÇTíöñ⁄",845,11,14,19,66,72,65,37,43,76,63,52,34,50,53,51,27,18,12,9,1,-,72,34264,44.8260025873,44,558,171,67,22,4,375,5,7,8,25,34,27,15,18,34,36,29,15,20,17,26,8,9,5,2,1,-,34,15010,44.5175953079,20,253,68,25,8,1,470,6,7,11,41,38,38,22,25,42,27,23,19,30,36,25,19,9,7,7,-,-,38,19254,45.0694444444,24,305,103,42,14,3
20,"45201","0030","2","","","","ã{çËåß","ã{çËés","èºã¥","",1225,41,30,23,39,56,80,89,93,91,76,72,69,76,103,65,62,50,28,12,3,1,66,54989,47.9452113891,94,741,324,156,44,5,585,18,12,13,17,31,42,49,47,47,41,38,34,46,47,25,14,16,8,2,1,-,37,24656,45.4927007299,43,392,113,41,11,2,640,23,18,10,22,25,38,40,46,44,35,34,35,30,56,40,48,34,20,10,2,1,29,30333,50.1448445172,51,349,211,115,33,3
21,"45201","003001","3","","","","ã{çËåß","ã{çËés","èºã¥","ÇPíöñ⁄",612,14,8,12,16,28,43,36,41,34,42,32,40,41,57,31,41,26,16,9,2,-,43,28566,50.7038664323,34,353,182,94,27,4,299,8,5,8,6,19,21,20,24,17,23,16,18,29,28,13,11,6,3,2,1,-,21,12913,46.9496402878,21,193,64,23,6,2,313,6,3,4,10,9,22,16,17,17,19,16,22,12,29,18,30,20,13,7,1,-,22,15653,54.2903780069,13,160,118,71,21,2
22,"45201","003002","3","","","","ã{çËåß","ã{çËés","èºã¥","ÇQíöñ⁄",613,27,22,11,23,28,37,53,52,57,34,40,29,35,46,34,21,24,12,3,1,1,23,26423,45.2847457627,60,388,142,62,17,1,286,10,7,5,11,12,21,29,23,30,18,22,16,17,19,12,3,10,5,-,-,-,16,11743,43.9925925926,22,199,49,18,5,-,327,17,15,6,12,16,16,24,29,27,16,18,13,18,27,22,18,14,7,3,1,1,7,14680,46.3750000000,38,189,93,44,12,1
23,"45201","0040","2","","","","ã{çËåß","ã{çËés","ññçL","",959,28,14,12,37,65,73,46,62,54,61,57,61,75,86,43,48,39,29,13,1,-,55,43876,49.0353982301,54,591,259,130,43,5,441,12,8,6,15,26,36,24,26,24,40,34,29,36,40,17,17,11,8,4,1,-,27,19496,47.5917874396,26,290,98,41,13,3,518,16,6,6,22,39,37,22,36,30,21,23,32,39,46,26,31,28,21,9,-,-,28,24380,50.2551020408,28,301,161,89,30,2
24,"45201","004001","3","","","","ã{çËåß","ã{çËés","ññçL","ÇPíöñ⁄",621,18,11,7,21,34,43,28,30,34,33,38,43,48,64,32,41,34,21,11,1,-,29,30290,51.6655405405,36,352,204,108,33,4,277,8,6,5,8,14,21,15,12,13,21,23,21,22,32,12,13,9,6,3,1,-,12,12963,49.4169811321,19,170,76,32,10,3,344,10,5,2,13,20,22,13,18,21,12,15,22,26,32,20,28,25,15,8,-,-,17,17327,53.4877675841,17,182,128,76,23,1
25,"45201","004002","3","","","","ã{çËåß","ã{çËés","ññçL","ÇQíöñ⁄",338,10,3,5,16,31,30,18,32,20,28,19,18,27,22,11,7,5,8,2,-,-,26,13586,44.0448717949,18,239,55,22,10,1,164,4,2,1,7,12,15,9,14,11,19,11,8,14,8,5,4,2,2,1,-,-,15,6533,44.3456375839,7,120,22,9,3,-,174,6,1,4,9,19,15,9,18,9,9,8,10,13,14,6,3,3,6,1,-,-,11,7053,43.7699386503,11,119,33,13,7,1
26,"45201","0050","2","","","","ã{çËåß","ã{çËés","íÜâõí ","",32,-,-,-,1,1,3,1,1,-,1,1,2,4,6,4,1,2,2,1,-,-,1,1849,60.1451612903,-,15,16,6,3,-,13,-,-,-,-,-,-,1,1,-,1,1,-,2,3,2,-,-,1,-,-,-,1,728,61.1666666667,-,6,6,1,1,-,19,-,-,-,1,1,3,-,-,-,-,-,2,2,3,2,1,2,1,1,-,-,-,1121,59.5000000000,-,9,10,5,2,-
27,"45201","0060","2","","","","ã{çËåß","ã{çËés","íﬂìá","",2752,169,144,109,115,90,149,179,226,206,164,169,160,178,179,152,108,94,45,20,6,-,90,115174,43.7659654395,422,1636,604,273,71,14,1255,83,75,48,50,43,67,79,108,108,75,72,78,89,80,62,43,28,14,5,2,-,46,50447,42.2262200165,206,769,234,92,21,4,1497,86,69,61,65,47,82,100,118,98,89,97,82,89,99,90,65,66,31,15,4,-,44,64727,45.0471438403,216,867,370,181,50,10
28,"45201","006001","3","","","","ã{çËåß","ã{çËés","íﬂìá","ÇPíöñ⁄",437,16,16,14,20,23,23,24,20,33,32,34,31,40,34,18,13,13,5,2,-,-,26,18459,45.4124087591,46,280,85,33,7,1,216,9,6,7,6,15,11,9,8,19,13,21,16,17,21,13,7,3,-,1,-,-,14,9143,45.7623762376,22,135,45,11,1,1,221,7,10,7,14,8,12,15,12,14,19,13,15,23,13,5,6,10,5,1,-,-,12,9316,45.0741626794,24,145,40,22,6,-
29,"45201","006002","3","","","","ã{çËåß","ã{çËés","íﬂìá","ÇQíöñ⁄",610,36,30,32,33,25,41,41,56,68,29,40,32,25,25,21,23,18,8,8,2,-,17,23945,40.8794266442,98,390,105,59,18,4,275,19,11,18,13,10,23,16,28,33,17,15,16,11,11,8,7,3,4,1,2,-,9,10231,38.9624060150,48,182,36,17,7,1,335,17,19,14,20,15,18,25,28,35,12,25,16,14,14,13,16,15,4,7,-,-,8,13714,42.4388379205,50,208,69,42,11,3
30,"45201","006003","3","","","","ã{çËåß","ã{çËés","íﬂìá","ÇRíöñ⁄",1705,117,98,63,62,42,85,114,150,105,103,95,97,113,120,113,72,63,32,10,4,-,47,72770,44.3902291918,278,966,414,181,46,9,764,55,58,23,31,18,33,54,72,56,45,36,46,61,48,41,29,22,10,3,-,-,23,31073,42.4338731444,136,452,153,64,13,2,941,62,40,40,31,24,52,60,78,49,58,59,51,52,72,72,43,41,22,7,4,-,24,41697,45.9711014177,142,514,261,117,33,7
31,"45201","0070","2","","","","ã{çËåß","ã{çËés","å≥ã{í¨","",378,14,4,9,14,19,25,22,34,22,23,24,18,24,29,19,21,10,8,1,-,-,38,15773,46.8911764706,27,225,88,40,9,-,176,6,3,2,3,11,14,12,17,9,13,13,9,12,14,7,10,4,1,-,-,-,16,7290,46.0625000000,11,113,36,15,1,-,202,8,1,7,11,8,11,10,17,13,10,11,9,12,15,12,11,6,7,1,-,-,22,8483,47.6277777778,16,112,52,25,8,-
32,"45201","0080","2","","","","ã{çËåß","ã{çËés","çÇèºí¨","",470,8,5,2,8,14,16,7,16,22,22,15,18,30,33,34,51,51,55,31,11,4,17,29273,65.1203090508,15,168,270,203,101,2,214,5,3,1,2,7,7,2,8,15,11,9,9,13,22,21,20,24,12,12,2,-,9,12551,61.7243902439,9,83,113,70,26,-,256,3,2,1,6,7,9,5,8,7,11,6,9,17,11,13,31,27,43,19,9,4,8,16722,67.9274193548,6,85,157,133,75,2
33,"45201","0090","2","","","","ã{çËåß","ã{çËés","ñkçÇèºí¨","",223,3,1,9,8,23,24,9,23,13,16,12,10,12,11,15,8,6,3,-,-,-,17,8977,44.0776699029,13,150,43,17,3,1,118,2,1,5,2,12,8,4,16,12,10,5,9,7,6,4,4,4,-,-,-,-,7,4814,43.8693693694,8,85,18,8,-,-,105,1,-,4,6,11,16,5,7,1,6,7,1,5,5,11,4,2,3,-,-,-,10,4163,44.3210526316,5,65,25,9,3,1
34,"45201","0100","2","","","","ã{çËåß","ã{çËés","ìÏçÇèºí¨","",319,13,9,4,9,25,19,19,22,21,16,12,20,12,17,20,17,17,7,2,1,-,37,13098,46.9468085106,26,175,81,44,10,1,144,8,5,3,4,8,6,13,11,11,8,2,8,7,5,8,6,8,2,1,-,-,20,5458,44.5161290323,16,78,30,17,3,1,175,5,4,1,5,17,13,6,11,10,8,10,12,5,12,12,11,9,5,1,1,-,17,7640,48.8544303797,10,97,51,27,7,-
35,"45201","0110","2","","","","ã{çËåß","ã{çËés","êºçÇèºí¨","",215,8,5,5,6,6,12,14,10,18,11,16,13,21,25,12,6,13,10,1,-,-,3,10615,50.5707547170,18,127,67,30,11,3,104,4,2,4,5,3,6,4,5,9,6,7,7,9,12,7,1,6,4,-,-,-,3,4885,48.8663366337,10,61,30,11,4,-,111,4,3,1,1,3,6,10,5,9,5,9,6,12,13,5,5,7,6,1,-,-,-,5730,52.1216216216,8,66,37,19,7,3
36,"45201","0120","2","","","","ã{çËåß","ã{çËés","çLìá","",1190,41,39,55,59,34,59,58,75,102,100,72,64,83,103,67,65,37,22,10,1,-,44,53148,46.8769633508,135,706,305,135,33,14,542,21,19,25,30,19,27,25,39,47,56,31,31,41,39,24,25,12,3,4,1,-,23,22840,44.5077071291,65,346,108,45,8,7,648,20,20,30,29,15,32,33,36,55,44,41,33,42,64,43,40,25,19,6,-,-,21,30308,48.8381180223,70,360,197,90,25,7
37,"45201","012001","3","","","","ã{çËåß","ã{çËés","çLìá","ÇPíöñ⁄",641,26,27,33,27,15,22,21,41,65,39,33,36,44,56,46,34,28,16,8,1,-,23,29413,48.0938511327,86,343,189,87,25,7,285,12,14,16,15,5,9,9,24,33,20,14,15,24,22,14,13,9,2,2,1,-,12,12122,44.9029304029,42,168,63,27,5,3,356,14,13,17,12,10,13,12,17,32,19,19,21,20,34,32,21,19,14,6,-,-,11,17291,50.6188405797,44,175,126,60,20,4
38,"45201","012002","3","","","","ã{çËåß","ã{çËés","çLìá","ÇQíöñ⁄",549,15,12,22,32,19,37,37,34,37,61,39,28,39,47,21,31,9,6,2,-,-,21,23735,45.4526515152,49,363,116,48,8,7,257,9,5,9,15,14,18,16,15,14,36,17,16,17,17,10,12,3,1,2,-,-,11,10718,44.0691056911,23,178,45,18,3,4,292,6,7,13,17,5,19,21,19,23,25,22,12,22,30,11,19,6,5,-,-,-,10,13017,46.6595744681,26,185,71,30,5,3
39,"45201","0130","2","","","","ã{çËåß","ã{çËés","êÁëêí¨","",552,8,11,8,14,39,38,21,27,28,40,25,36,46,63,26,26,24,11,3,-,-,58,24492,50.0789473684,27,314,153,64,14,5,249,3,5,6,6,17,16,11,12,13,21,12,19,17,30,11,8,13,5,-,-,-,24,10975,49.2777777778,14,144,67,26,5,2,303,5,6,2,8,22,22,10,15,15,19,13,17,29,33,15,18,11,6,3,-,-,34,13517,50.7490706320,13,170,86,38,9,3
40,"45201","0140","2","","","","ã{çËåß","ã{çËés","ê¥êÖ","",2143,85,63,65,99,113,110,140,142,154,128,148,157,122,139,93,80,80,50,11,3,1,160,89297,45.5312657590,213,1313,457,225,65,5,1015,40,38,28,47,44,60,67,64,86,68,72,67,66,64,47,32,19,18,2,-,-,86,40443,44.0339074273,106,641,182,71,20,3,1128,45,25,37,52,69,50,73,78,68,60,76,90,56,75,46,48,61,32,9,3,1,74,48854,46.8510436433,107,672,275,154,45,2
41,"45201","014001","3","","","","ã{çËåß","ã{çËés","ê¥êÖ","ÇPíöñ⁄",720,10,12,19,29,47,35,31,31,46,43,57,54,48,55,35,27,35,21,4,3,1,77,31532,49.5388802488,41,421,181,91,29,1,355,7,8,9,13,21,24,19,12,28,25,28,26,26,30,19,9,6,5,-,-,-,40,14389,46.1793650794,24,222,69,20,5,1,365,3,4,10,16,26,11,12,19,18,18,29,28,22,25,16,18,29,16,4,3,1,37,17143,52.7652439024,17,199,112,71,24,-
42,"45201","014002","3","","","","ã{çËåß","ã{çËés","ê¥êÖ","ÇQíöñ⁄",693,41,26,26,35,34,31,64,59,61,37,38,41,31,39,28,19,24,15,1,-,-,43,26977,42.0030769231,93,431,126,59,16,1,316,20,12,13,15,9,18,27,28,34,13,16,19,15,15,15,9,7,6,1,-,-,24,11991,41.5650684932,45,194,53,23,7,-,377,21,14,13,20,25,13,37,31,27,24,22,22,16,24,13,10,17,9,-,-,-,19,14986,42.3603351955,48,237,73,36,9,1
43,"45201","014003","3","","","","ã{çËåß","ã{çËés","ê¥êÖ","ÇRíöñ⁄",730,34,25,20,35,32,44,45,52,47,48,53,62,43,45,30,34,21,14,6,-,-,40,30788,45.1202898551,79,461,150,75,20,3,344,13,18,6,19,14,18,21,24,24,30,28,22,25,19,13,14,6,7,1,-,-,22,14063,44.1739130435,37,225,60,28,8,2,386,21,7,14,16,18,26,24,28,23,18,25,40,18,26,17,20,15,7,5,-,-,18,16725,45.9483695652,42,236,90,47,12,1
44,"45201","0150","2","","","","ã{çËåß","ã{çËés","å¥í¨","",397,9,18,13,19,28,18,22,21,28,32,32,23,22,28,10,20,18,8,2,-,-,26,16681,45.4622641509,40,245,86,48,10,-,176,6,9,5,14,8,8,10,7,10,17,11,15,12,10,5,9,4,3,-,-,-,13,7010,43.5061349693,20,112,31,16,3,-,221,3,9,8,5,20,10,12,14,18,15,21,8,10,18,5,11,14,5,2,-,-,13,9671,46.9951923077,20,133,55,32,7,-
